,params,distance,image_result
120,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",11654,./output/Posibility: 120 | Effort: 11654.png
114,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",11660,./output/Posibility: 114 | Effort: 11660.png
106,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",11751,./output/Posibility: 106 | Effort: 11751.png
40,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",11818,./output/Posibility: 40 | Effort: 11818.png
104,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12002,./output/Posibility: 104 | Effort: 12002.png
24,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12078,./output/Posibility: 24 | Effort: 12078.png
138,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12102,./output/Posibility: 138 | Effort: 12102.png
56,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12109,./output/Posibility: 56 | Effort: 12109.png
2,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12165,./output/Posibility: 2 | Effort: 12165.png
82,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12186,./output/Posibility: 82 | Effort: 12186.png
112,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12198,./output/Posibility: 112 | Effort: 12198.png
72,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12421,./output/Posibility: 72 | Effort: 12421.png
136,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12465,./output/Posibility: 136 | Effort: 12465.png
88,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12478,./output/Posibility: 88 | Effort: 12478.png
122,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12500,./output/Posibility: 122 | Effort: 12500.png
58,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12500,./output/Posibility: 58 | Effort: 12500.png
8,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12511,./output/Posibility: 8 | Effort: 12511.png
18,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12526,./output/Posibility: 18 | Effort: 12526.png
64,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",12638,./output/Posibility: 64 | Effort: 12638.png
10,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",12805,./output/Posibility: 10 | Effort: 12805.png
0,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",13218,./output/Posibility: 0 | Effort: 13218.png
48,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",13287,./output/Posibility: 48 | Effort: 13287.png
96,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 1}",13328,./output/Posibility: 96 | Effort: 13328.png
74,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",13378,./output/Posibility: 74 | Effort: 13378.png
